epoch,train_loss,val_rmse
1,0.9083434907944071,0.9134620734061119
2,0.8016487663995212,0.8886586340626323
3,0.779506638114508,0.8807264837599617
4,0.7683963385567099,0.879187452379986
5,0.7614782426800111,0.8759234953234907
6,0.7563533562498032,0.8802042755780423
7,0.7521357906121086,0.8768149888573531
8,0.7480850076642435,0.8739872903267568
9,0.7447886790339467,0.8727453592864359
10,0.7412132828533974,0.8746143118323373
11,0.7384853014978281,0.8688894800202406
12,0.7355520099085682,0.8682852494196878
13,0.7329609051970293,0.8739407774224455
14,0.7307012186475592,0.8678497193604872
15,0.7284302486898545,0.8655947035305812
16,0.7262926002405311,0.868059908713749
17,0.7245057360116616,0.8656231914046643
18,0.7225837731536856,0.8670156530282045
19,0.7209351342852797,0.8664450019882451
20,0.7192992920391649,0.8629908098732043
21,0.7176827161047707,0.8641436532200022
22,0.7162846596009891,0.8659344458451839
23,0.714855597676354,0.8649819074935426
24,0.7134776574899513,0.8692838406526674
25,0.7121608249431837,0.8647249320595922
26,0.7109727230184987,0.8642617487221116
27,0.7098245270658416,0.8630191928192561
28,0.7086545596057379,0.8700938844366602
29,0.7076225904206755,0.8637977487310101
30,0.7066827955442828,0.8639494518117936
31,0.7055712878622955,0.8625270496126314
32,0.7046468221329197,0.8652992721916251
33,0.7036474853163683,0.8636823253688088
34,0.7027263567848557,0.8667863133649792
35,0.7018129318522031,0.8633976935254121
36,0.7010261329589171,0.8635503199247284
37,0.7000496382128689,0.8612059919350418
38,0.6993568450017826,0.8623880344942558
39,0.6988086934506577,0.8604710772067493
40,0.6979421444389425,0.863133848777353
41,0.6970972523653899,0.8640310092878396
42,0.6963472814052128,0.8635692036464022
43,0.6957137327328141,0.8623057604785977
44,0.6952404742864091,0.8638636295734555
45,0.6942763924352677,0.8618349262376211
46,0.6937597256726321,0.8650471301057836
47,0.6931934015007316,0.8610789506289843
48,0.6925290134590646,0.8616702360262004
49,0.6919656265454416,0.8613990092776005
50,0.691472048099559,0.8624776521366272
51,0.6908381952478593,0.8619879280417171
52,0.6903662738646419,0.863107300980618
53,0.6898214750747989,0.8642591721897067
54,0.6893444470127227,0.8612698828298936
55,0.6887548112464376,0.8623040463675549
56,0.6884567259783202,0.8613570016620437
57,0.6877919804774074,0.8615733916008945
58,0.6872505714803809,0.8674230451154732
59,0.6869573920670214,0.8621027534248634
60,0.6864099083498911,0.8641312156120632
