epoch,train_loss,val_rmse
1,0.8993595035987599,0.8913962999464091
2,0.7859146999226062,0.883947856107288
3,0.7671947128984139,0.8845090248905979
4,0.7576777009017577,0.8754619226343258
5,0.750328051475141,0.8727840654195742
6,0.7435501418755525,0.8708677097475874
7,0.7373560650491332,0.8734178836331414
8,0.7318543071473721,0.8663067998935914
9,0.726883425753213,0.8688583916105205
10,0.7224332395706126,0.8650360392765448
11,0.7179920056442369,0.8622173474697212
12,0.7138001758265418,0.8621923551060073
13,0.7097448212196062,0.8576593013915956
14,0.7061582052747857,0.8605552211187265
15,0.7026856578632721,0.8570604284115051
16,0.6992112428255559,0.8582077064335
17,0.6963790382729319,0.8585822169766002
18,0.6934411169092123,0.8586079013449239
19,0.6909631481205064,0.859838761381484
20,0.6883685835422367,0.8572389976173207
21,0.6858579462877888,0.8574502842137347
22,0.6838086939304278,0.8584081578486165
23,0.6815142377162181,0.8588469480372731
24,0.6795853663765276,0.8565509095906237
25,0.6775675362352799,0.8615424288646663
26,0.6755973066359696,0.856154887964422
27,0.6739634059978502,0.8569313862866414
28,0.6719127569229465,0.8586702027058607
29,0.6702667386079255,0.8629803481235219
30,0.6685527286858233,0.8559393463159599
31,0.6670686046455178,0.8557168427845548
32,0.6653629176511197,0.856729797406778
33,0.6639007385157429,0.8643617672885949
34,0.6624613941199018,0.8638989666752875
35,0.6609071785782338,0.8601612396908552
36,0.6594802113940879,0.8586559640648478
37,0.6581323249645492,0.8569267024272551
38,0.6569054196474863,0.8630980086778023
39,0.6555904369470564,0.8613558911787527
40,0.6542632774636511,0.8611795880456842
41,0.6528811824504471,0.8616139733351486
42,0.6518421409924512,0.8585881339751745
43,0.6505676572277089,0.8591170295208779
44,0.649316458935275,0.8640734880394367
45,0.648096534985584,0.8625964201237908
46,0.6471020687723157,0.86419456809658
47,0.6460542162365795,0.8670900549512599
48,0.6450288134134681,0.8631452238347728
49,0.6441119148303119,0.8626129876246562
50,0.6429453598364361,0.8633946783949465
51,0.6420823561520639,0.8586345478687253
52,0.6409223746508643,0.8590068626367875
53,0.6398852621987458,0.8686254675646566
54,0.6391526397438339,0.8592892283953656
55,0.6381392936398868,0.8595871599362005
56,0.6370138514807221,0.860358678543824
57,0.6362667581466408,0.859147249164948
58,0.6354398701153763,0.8634105913936072
59,0.6345668404292073,0.8631862039930135
60,0.633771444085016,0.8669696611693261
