epoch,train_loss,val_rmse
1,0.9281092666493015,0.9164246975587695
2,0.8218036806114292,0.8969445668323979
3,0.7987319564986745,0.8829406741476454
4,0.7871439747328661,0.878722525364111
5,0.7794373125462923,0.8811346936993121
6,0.7734301880885694,0.8726107671052729
7,0.7677104554203504,0.8709427017808179
8,0.7633438638215597,0.8674277844257451
9,0.7585085460847244,0.8705633998446729
10,0.7543517013162898,0.8672606345768424
11,0.7510874887311132,0.8675069280769839
12,0.7481005639502353,0.8646465041801658
13,0.7457242757712637,0.8658332029560792
14,0.7441134672724704,0.8634720967892406
15,0.7413191830695761,0.8608823883829416
16,0.7399953779449611,0.8622218776084652
17,0.7375317094753278,0.8613862784020642
18,0.735679617435653,0.8653283186599728
19,0.7340531321968187,0.8604911724480453
20,0.7322913888395912,0.8623241120847926
21,0.7306933078883978,0.8600162027660505
22,0.7289195715336636,0.8640379421108776
23,0.727394862991721,0.860288795482322
24,0.7255347548277781,0.8603050439779548
25,0.7242911620371598,0.8580164924244357
26,0.7231993267249599,0.8588275550011086
27,0.7216369614710653,0.8570997415989884
28,0.7201973140909191,0.8572847337992079
29,0.7191308826879591,0.8570538966199407
30,0.7176407786637964,0.8564653880052973
31,0.71606541139839,0.8578856782415648
32,0.7148743528240192,0.8560416939072696
33,0.713886110443515,0.8558370469505986
34,0.712772886499733,0.8548389196551017
35,0.711461098030844,0.8569116727539099
36,0.710348814303885,0.856684799591834
37,0.709149597418733,0.855638568780922
38,0.7083249797584357,0.8536950297529545
39,0.7075698278455619,0.8544866454892223
40,0.706242368587277,0.8530237463272292
41,0.7055694768540881,0.8565627860250908
42,0.7048195068247192,0.8535122995833996
43,0.7037795111640843,0.8544442290572776
44,0.7026110024845751,0.8538032125011961
45,0.7020348136931867,0.8526835682450014
46,0.7012398342711059,0.8556376548208527
47,0.7007876156907566,0.8548296780321758
48,0.6999329395197406,0.8538419699486323
49,0.698460421732923,0.8524219569565448
50,0.6985670430321556,0.8533516586448947
51,0.6975285577446168,0.8517397906455892
52,0.697249627127004,0.8533092068888787
53,0.6967048351125494,0.8524921639247808
54,0.6955406530291564,0.855712586302796
55,0.6949183044480086,0.8519317829560735
56,0.6945279666836619,0.852927396234016
57,0.6935234067348841,0.8510551847250225
58,0.6929428273414618,0.8525712023422315
59,0.6927152700332746,0.8521568704126734
60,0.6917768585604855,0.8532702625066594
61,0.691782589243362,0.8556297615454155
62,0.69097463509661,0.851548981956447
63,0.6903110966862661,0.8551694548091767
64,0.689721853919331,0.8568762670572493
65,0.689078862843773,0.8510969132839524
66,0.6885586247454677,0.8530775229965948
67,0.6881802763449367,0.8513810509098121
68,0.6875090209196516,0.85333319477519
69,0.6868237469234647,0.8504908305465275
70,0.6868353043738337,0.8536448196980992
71,0.6863235843784058,0.8517515786561095
72,0.6857578375908431,0.8524758554460335
73,0.684837048532519,0.8515680720346971
74,0.6845833355991287,0.852051222032875
75,0.6843695251967862,0.8509607687516327
76,0.6841000473123976,0.852788982800074
77,0.6835072418625938,0.8525964478633746
78,0.6832103877330425,0.8514168702152728
79,0.6827455685322131,0.848609316324818
80,0.6824243794940846,0.8546810012483242
81,0.6815456269633031,0.8517277473414004
82,0.6810860216591702,0.8511445158199296
83,0.6811133161460873,0.8516107090373805
84,0.6809082333486729,0.8520681344418725
85,0.6801206982088651,0.8539283723237485
86,0.6800052033705974,0.8492374468263789
87,0.6788855557952028,0.850472335646663
88,0.6786204841352627,0.8511419065131051
89,0.6785374588099515,0.850748051842232
90,0.6782545581678999,0.85329076087326
91,0.6777299674958638,0.8544175222422259
92,0.6776428455689142,0.8503978298143177
93,0.6771264370559211,0.8506104855330153
94,0.6771051137468735,0.8528022197873605
95,0.6766817702044352,0.8509684321524265
96,0.6756120656606275,0.8519710228860966
97,0.6754765382445025,0.8546650662018326
98,0.6756450128874639,0.8520680723572682
99,0.6749258296463385,0.8506809804597214
100,0.6750488080478931,0.8542562090430715
