epoch,train_loss,val_rmse
1,0.9342325951100585,0.9067671535457565
2,0.8107736979245624,0.8939304530741928
3,0.7887625161696524,0.8890967176764316
4,0.7756548837101512,0.8863423717132591
5,0.7665382469671295,0.8811601412977257
6,0.7598761624268835,0.879553497598783
7,0.7548276537986612,0.8777569315564071
8,0.750856706370014,0.8791873301540122
9,0.7470136601630738,0.8794098317963398
10,0.7440084517295885,0.8766937139362587
11,0.741201139826384,0.8776752727024866
12,0.7391386986498181,0.8755623497050211
13,0.7369433220613413,0.8736819006684696
14,0.7349075645356316,0.8756042301601688
15,0.733266830006362,0.8735254662008469
16,0.7316567059907114,0.8701947490160717
17,0.7301753319175752,0.8726296202530335
18,0.7289601063427456,0.8742227229613233
19,0.7279581496367077,0.8722782132545721
20,0.7267293158284015,0.8727968888032859
21,0.7255573833683723,0.8725761936612921
22,0.7246685631434282,0.8723075311543057
23,0.7237665341143887,0.8699281093853823
24,0.7227883928252701,0.8698993708659797
25,0.7223088755904735,0.868885988669097
26,0.7213062387249851,0.8732800993274975
27,0.7204425175305798,0.8676673071488639
28,0.7196357335128382,0.8699619910711022
29,0.7190673270252784,0.8741384058062832
30,0.7182385102502699,0.8712622532912788
31,0.7176675396632736,0.8748827110892531
32,0.7171257313244127,0.8682774192606583
33,0.7165947277628935,0.8700600006976391
34,0.7160394387836024,0.8734381198637245
35,0.7154594250941358,0.8708549185016787
36,0.7150563070539813,0.8684085941142156
37,0.7143061381900588,0.8684051653661696
38,0.7139822529143802,0.8671168644196625
39,0.7133650275383777,0.868370399145917
40,0.7130939168683418,0.8681382294341395
41,0.712543121474311,0.8673167559675505
42,0.7120678603707041,0.8691554855376742
43,0.7117135436744577,0.8690073660803049
44,0.7114325442566611,0.8657192637322767
45,0.7111858266200773,0.8677877132403092
46,0.7106097918430341,0.8666763571996261
47,0.7103515110263444,0.865825884737534
48,0.7097958426943256,0.8679864974928083
49,0.7095039935289676,0.8669451793192166
50,0.7092481895546994,0.8658229485704001
51,0.7090257590005034,0.8661269533497798
52,0.7084871681986339,0.868182844292725
53,0.708397422059026,0.8677367071762163
54,0.7079016737569361,0.8664329151316882
55,0.7077166286700451,0.8663523907580247
56,0.7072226276369143,0.8649324551347851
57,0.7072186483323851,0.867597673174445
58,0.7069689540881481,0.8655238391440648
59,0.7066635953281551,0.866909285355219
60,0.7063618262930821,0.86888695870916
